,,,,Σύνολο κτιρίων αποκλειστικής χρήσης,Αποκλειστική χρήση κτιρίων,,,,,,,,,,,,,,,Σύνολο κτιρίων μεικτής χρήσης,Κύρια χρήση κτιρίων μεικτής χρήσης,,,,,,,,,,,,,,
,,,,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση,,Κατοικία,Θρησκευτικός χώρος,Ξενοδοχείο ή άλλου είδους τουριστική εγκατάσταση,Εργοστάσιο-εργαστήριο,Σχολικό κτίριο,Φροντιστήριο,"Κοινωνικής πρόνοιας (π.χ παιδικός σταθμός, οίκος ευγηρίας)",Αστυνομικός ή πυροσβεστικός σταθμός,Σωφρονιστικό ίδρυμα,Δημόσια υπηρεσία (γραφεία),Κατάστημα-γραφείο,Χώρος θεαμάτων-συνεδριακός χώρος-μουσείο-βιβλιοθήκη,Σταθμός αυτοκινήτων (πάρκινγκ),Νοσοκομείο-κλινική,Άλλη χρήση
8,1110101020401,"Καλλίστη,η",79,71,48,1,0,0,0,0,0,0,0,1,1,0,0,0,20,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010205,Δημοτική Κοινότητα Μελέτης,477,477,268,1,0,0,2,0,0,0,0,0,10,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101020501,"Μελέτη,η",477,477,268,1,0,0,2,0,0,0,0,0,10,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010206,Δημοτική Κοινότητα Μέσης,208,193,123,3,0,0,3,0,0,0,0,1,6,1,0,0,56,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101020601,"Μέση,η",208,193,123,3,0,0,3,0,0,0,0,1,6,1,0,0,56,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010207,Δημοτική Κοινότητα Νέας Καλλίστης,323,291,155,1,0,0,3,0,0,0,0,5,16,0,0,0,111,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101020701,"Νέα Καλλίστη,η",323,291,155,1,0,0,3,0,0,0,0,5,16,0,0,0,111,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010208,Δημοτική Κοινότητα Παραλίας Μέσης,237,233,210,3,0,0,0,0,0,0,0,0,1,0,0,0,19,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1110101020801,"Παραλία Μέσης,η",237,233,210,3,0,0,0,0,0,0,0,0,1,0,0,0,19,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11101010209,Δημοτική Κοινότητα Πόρπης,371,350,182,2,0,2,2,0,0,0,0,2,8,0,0,0,152,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
